x	y	z	The NLRP3 inflammasome
244	284	21	1
241	279	24	1
246	284	24	2
244	286	24	1
244	288	24	1
236	268	25	1
235	270	25	1
228	272	25	2
238	272	25	1
237	275	25	1
231	277	25	1
233	277	25	1
236	278	25	1
231	279	25	1
233	279	25	1
238	279	25	1
232	280	25	2
239	280	25	1
245	280	25	1
235	281	25	1
248	281	25	2
249	281	25	2
234	282	25	1
239	282	25	1
247	282	25	1
239	283	25	1
237	284	25	2
242	284	25	1
238	285	25	1
241	285	25	1
253	285	25	1
218	286	25	1
232	286	25	1
235	286	25	1
240	286	25	1
241	286	25	1
254	286	25	1
237	287	25	1
239	288	25	1
238	289	25	1
248.5	289.5	25.5	1
252	289	25	1
237	290	25	1
236	291	25	1
245	291	25	1
239	292	25	1
243	292	25	1
239	293	25	1
240	293	25	1
239	294	25	1
240	295	25	1
241	295	25	2
243	295	25	1
183	258	26	1
182	260	26	1
229	264	26	1
230	264	26	1
231	264	26	1
230	267	26	1
234	267	26	1
233	268	26	1
236	268	26	1
228	270	26	1
237	270	26	1
229	271	26	1
236	271	26	1
226	272	26	2
234	272	26	1
236	272	26	2
239	272	26	1
239	273	26	2
249	273	26	1
235	275	26	1
207	276	26	1
235	276	26	1
213	277	26	1
230	277	26	1
236	277	26	1
236	278	26	1
243	278	26	1
251	278	26	1
236	279	26	1
239	279	26	1
241	279	26	1
246	279	26	1
248	279	26	1
232	280	26	1
233	280	26	1
241	280	26	2
248	280	26	3
234	281	26	1
237	281	26	1
239	281	26	1
240	281	26	1
250	281	26	1
208	282	26	1
245	282	26	1
231	283	26	1
253	283	26	1
212	284	26	1
235	284	26	1
244	284	26	1
212	285	26	1
237	285	26	1
245	285	26	1
250	285	26	1
254	285	26	1
233	286	26	1
236	286	26	1
240	286	26	1
243	286	26	1
223	287	26	1
239	287	26	1
251	287	26	1
222	289	26	1
231	289	26	1
234	289	26	1
225	290	26	1
236	290	26	2
226	291	26	1
237	291	26	1
240	291	26	2
244	291	26	1
250	291	26	1
239	292	26	2
242	292	26	1
247	292	26	1
245	293	26	1
246	293	26	2
247	293	26	2
220	294	26	1
235	294	26	1
243	294	26	1
221	295	26	1
222	295	26	1
240	295	26	1
240	296	26	1
242	296	26	1
243	296	26	3
244	296	26	1
237	297	26	1
240	297	26	1
236	299	26	1
240	299	26	1
241	299	26	1
227	301	26	1
184	255	27	1
184	256	27	1
226	259	27	1
226	260	27	1
233	260	27	1
235	260	27	1
181	261	27	1
183	261	27	1
229	261	27	1
237	261	27	1
177	262	27	1
184	262	27	1
186	262	27	1
232	262	27	1
236	262	27	1
178	263	27	1
182	263	27	1
184	263	27	1
215	263	27	1
235	263	27	1
244	263	27	1
231	264	27	1
240	264	27	1
189	265	27	1
226	265	27	1
240	265	27	2
201	266	27	1
221	266	27	1
228	266	27	1
234	266	27	1
239	266	27	1
215	267	27	2
232	267	27	2
233	267	27	1
241	267	27	1
179	268	27	1
180	268	27	1
222	268	27	1
223	268	27	2
224	268	27	1
230	268	27	1
232	268	27	1
237	268	27	1
240	268	27	1
207	269	27	1
214	269	27	1
225	269	27	1
229	269	27	1
243	269	27	1
207	270	27	1
215	270	27	1
218	270	27	1
230	270	27	1
234	270	27	1
237	270	27	1
239	270	27	4
177	271	27	1
209	271	27	2
210	271	27	1
211	271	27	1
223	271	27	1
225	271	27	1
228	271	27	1
234	271	27	1
249	271	27	1
250	271	27	2
179	272	27	1
227	272	27	1
230	272	27	1
247	272	27	2
250	272	27	1
206	273	27	1
211	273	27	1
251	273	27	1
253	273	27	1
182	274	27	1
204	274	27	1
207	274	27	1
228	274	27	2
235	274	27	1
208	275	27	1
224	275	27	1
252	275	27	1
207	276	27	1
210	276	27	2
213	276	27	1
232	276	27	1
233	276	27	1
239	276	27	1
244	276	27	1
245	276	27	1
207	277	27	1
239	277	27	1
250	277	27	1
204	278	27	1
211	278	27	1
231	278	27	1
232	278	27	2
234	278	27	1
235	278	27	1
238	278	27	2
240	278	27	1
244	278	27	1
246	278	27	1
249	278	27	1
230	279	27	1
232	279	27	1
251	279	27	1
257	279	27	1
207	280	27	1
208	280	27	1
214	280	27	1
236	280	27	1
246	280	27	2
252	280	27	2
214	281	27	1
217	281	27	1
238	281	27	1
246	281	27	1
248	281	27	2
257	281	27	2
205	282	27	1
206	282	27	1
209	282	27	1
212	282	27	1
213	282	27	2
217	282	27	1
229	282	27	1
231	282	27	1
252	282	27	1
201	283	27	2
207	283	27	1
215	283	27	1
216	283	27	1
221	283	27	1
236	283	27	1
238	283	27	1
240	283	27	1
242	283	27	1
248	283	27	1
253	283	27	1
212	284	27	2
213	284	27	1
232	284	27	1
238	284	27	1
250	284	27	1
251	284	27	1
252	284	27	2
253	284	27	1
254	284	27	1
208	285	27	2
210	285	27	1
220	285	27	1
223	285	27	1
228	285	27	1
233	285	27	1
237	285	27	1
253	285	27	1
208	286	27	1
209	286	27	1
214	286	27	1
219	286	27	2
224	286	27	1
240	286	27	1
244	286	27	1
246	286	27	1
247	286	27	1
249	286	27	1
251	286	27	1
210	287	27	2
214	287	27	1
221	287	27	1
227	287	27	1
231	287	27	1
233	287	27	1
234	287	27	1
236	287	27	1
238	287	27	1
256	287	27	1
204	288	27	1
211	288	27	1
222	288	27	1
236	288	27	1
242	288	27	1
247	288	27	1
250	288	27	1
203	289	27	2
224	289	27	1
235	289	27	1
238	289	27	1
240	289	27	1
242	289	27	1
246	289	27	1
248	289	27	1
214	290	27	1
225	290	27	1
246	290	27	1
252	290	27	1
210	291	27	2
235	291	27	1
238	291	27	1
250	291	27	2
257	291	27	1
219	292	27	1
224	292	27	1
225	292	27	1
226	292	27	1
228	292	27	1
229	292	27	1
238	292	27	1
248	292	27	1
254	292	27	1
219	293	27	1
222	293	27	1
250	293	27	2
256	293	27	1
226	294	27	1
235	294	27	1
250	294	27	1
211	295	27	1
218	295	27	1
226	295	27	1
250	295	27	1
237	296	27	1
249	296	27	1
